seq_id,organism,genus,evalue,score,bias,description
TPP44357.1,Leishmania donovani,Leishmania,3.10E-21,72.5,0,Actin family protein [Leishmania donovani]
CAJ1987557.1,Leishmania donovani,Leishmania,1.80E-20,70,0,actin-like protein [Leishmania donovani]
CBZ37833.1,Leishmania donovani,Leishmania,1.20E-06,24.4,0.1,"actin-like protein, putative [Leishmania donovani]"
CAJ1992738.1,Leishmania donovani,Leishmania,1.60E-06,24,0.1,actin-like protein [Leishmania donovani]
TPP40263.1,Leishmania donovani,Leishmania,1.60E-06,24,0.1,Actin family protein [Leishmania donovani]
CBZ36010.1,Leishmania donovani,Leishmania,0.011,11.4,0,"actin-like protein, putative [Leishmania donovani]"
TPP52906.1,Leishmania donovani,Leishmania,0.011,11.4,0,Actin family protein [Leishmania donovani]
CAJ1990767.1,Leishmania donovani,Leishmania,0.011,11.4,0,actin-like protein [Leishmania donovani]
TPP50626.1,Leishmania donovani,Leishmania,0.011,11.4,0,Actin family protein [Leishmania donovani]
KAG5482769.1,Leishmania enriettii,Leishmania,3.80E-98,325.9,0,hypothetical protein CUR178_06810 [Leishmania enriettii]
KAG5486657.1,Leishmania enriettii,Leishmania,1.10E-92,307.8,0.1,hypothetical protein CUR178_08024 [Leishmania enriettii]
KAG5483482.1,Leishmania enriettii,Leishmania,8.10E-52,173.2,0,hypothetical protein CUR178_07803 [Leishmania enriettii]
KAG5465645.1,Leishmania enriettii,Leishmania,4.90E-34,114.7,0,hypothetical protein CUR178_00355 [Leishmania enriettii]
KAG5481244.1,Leishmania enriettii,Leishmania,4.00E-31,105,0,hypothetical protein CUR178_06477 [Leishmania enriettii]
KAG5482765.1,Leishmania enriettii,Leishmania,1.40E-22,76.9,0,hypothetical protein CUR178_06805 [Leishmania enriettii]
KAG5467193.1,Leishmania enriettii,Leishmania,5.40E-19,65.1,0,hypothetical protein CUR178_00834 [Leishmania enriettii]
KAG5468837.1,Leishmania enriettii,Leishmania,1.80E-07,27.1,0.2,hypothetical protein CUR178_01673 [Leishmania enriettii]
KAG5480107.1,Leishmania enriettii,Leishmania,0.0013,14.4,0,hypothetical protein CUR178_06159 [Leishmania enriettii]
KAG5474219.1,Leishmania enriettii,Leishmania,0.0097,11.5,0,hypothetical protein CUR178_04332 [Leishmania enriettii]
CCM12809.1,Leishmania guyanensis,Leishmania,4.50E-92,305.8,0.1,Putative actin [Leishmania guyanensis]
XQJ24500.1,Leishmania guyanensis,Leishmania,4.50E-92,305.8,0.1,actin [Leishmania guyanensis]
XQJ25991.1,Leishmania guyanensis,Leishmania,1.10E-81,271.6,0,"actin-related protein 3, putative arp3 [Leishmania guyanensis]"
CCM19677.1,Leishmania guyanensis,Leishmania,1.20E-34,116.7,0,"actin-like protein, putative [Leishmania guyanensis]"
CCM14660.1,Leishmania guyanensis,Leishmania,6.90E-31,104.3,0,"actin-related protein 2, putative [Leishmania guyanensis]"
XQJ25986.1,Leishmania guyanensis,Leishmania,8.00E-24,81,0,"actin-like protein, putative [Leishmania guyanensis]"
XQJ31014.1,Leishmania guyanensis,Leishmania,3.20E-20,69.1,0,"actin-like protein, putative [Leishmania guyanensis]"
CCM15080.1,Leishmania guyanensis,Leishmania,2.50E-08,30,0.1,"actin-like protein, putative [Leishmania guyanensis]"
CCM15370.1,Leishmania guyanensis,Leishmania,0.00046,15.9,0.1,"actin-like protein, putative [Leishmania guyanensis]"
CCM17384.1,Leishmania guyanensis,Leishmania,0.0037,12.9,0,"actin-like protein, putative [Leishmania guyanensis]"
CAC9473331.1,Leishmania infantum,Leishmania,2.10E-96,320.1,0,actin-related_protein_3_-_putative_arp3 [Leishmania infantum]
ACS74721.1,Leishmania infantum,Leishmania,2.40E-91,303.4,0,actin [Leishmania infantum]
CAC9466006.1,Leishmania infantum,Leishmania,3.00E-53,177.9,0,actin-like_protein_-_putative [Leishmania infantum]
CAC9551129.1,Leishmania infantum,Leishmania,5.60E-35,117.8,0,actin-like_protein_-_putative [Leishmania infantum]
CAC9483302.1,Leishmania infantum,Leishmania,1.30E-32,109.9,0,actin-related_protein_2_-_putative [Leishmania infantum]
CAC9473232.1,Leishmania infantum,Leishmania,2.50E-21,72.8,0.1,actin-like_protein_-_putative [Leishmania infantum]
CAC9543216.1,Leishmania infantum,Leishmania,2.90E-21,72.6,0,actin-like_protein_-_putative [Leishmania infantum]
CAC9541113.1,Leishmania infantum,Leishmania,1.60E-06,24,0.1,actin-like_protein_-_putative [Leishmania infantum]
CAC9510716.1,Leishmania infantum,Leishmania,0.011,11.4,0,actin-like_protein_-_putative [Leishmania infantum]
CAM66853.1,Leishmania infantum JPCM5,Leishmania,2.10E-96,320.1,0,"actin-related protein 3, putative arp3 [Leishmania infantum JPCM5]"
CAM66490.1,Leishmania infantum JPCM5,Leishmania,3.00E-53,177.9,0,putative actin-like protein [Leishmania infantum JPCM5]
CAM72796.1,Leishmania infantum JPCM5,Leishmania,5.60E-35,117.8,0,putative actin-like protein [Leishmania infantum JPCM5]
CAM67322.1,Leishmania infantum JPCM5,Leishmania,1.30E-32,109.9,0,putative actin-related protein 2 [Leishmania infantum JPCM5]
CAM66847.1,Leishmania infantum JPCM5,Leishmania,2.50E-21,72.8,0.1,putative actin-like protein [Leishmania infantum JPCM5]
CAM71988.1,Leishmania infantum JPCM5,Leishmania,2.90E-21,72.6,0,putative actin-like protein [Leishmania infantum JPCM5]
CAM71801.1,Leishmania infantum JPCM5,Leishmania,1.20E-06,24.4,0.1,putative actin-like protein [Leishmania infantum JPCM5]
CAM69859.1,Leishmania infantum JPCM5,Leishmania,0.011,11.4,0,putative actin-like protein [Leishmania infantum JPCM5]
CAJ1020308.1,Leishmania lindenbergi,Leishmania,1.20E-74,248.4,0,"Actin, putative [Leishmania lindenbergi]"
CAJ1019220.1,Leishmania lindenbergi,Leishmania,8.80E-53,176.4,0,"Actin, putative [Leishmania lindenbergi]"
CAJ1036570.1,Leishmania lindenbergi,Leishmania,8.80E-35,117.1,0,"Actin, putative [Leishmania lindenbergi]"
CAJ1013964.1,Leishmania lindenbergi,Leishmania,1.40E-32,109.9,0,"Actin, putative [Leishmania lindenbergi]"
CAJ1020290.1,Leishmania lindenbergi,Leishmania,1.00E-23,80.6,0,"Actin, putative [Leishmania lindenbergi]"
CAJ1034441.1,Leishmania lindenbergi,Leishmania,2.20E-19,66.4,0,"Actin, putative [Leishmania lindenbergi]"
CAJ1022971.1,Leishmania lindenbergi,Leishmania,2.60E-08,29.9,0.1,"Actin, putative [Leishmania lindenbergi]"
KAL0506446.1,Leishmania lindenbergi,Leishmania,2.60E-08,29.9,0.1,putative Actin [Leishmania lindenbergi]
CAJ1023931.1,Leishmania lindenbergi,Leishmania,0.00046,15.9,0,"Actin, putative [Leishmania lindenbergi]"
CAJ1030038.1,Leishmania lindenbergi,Leishmania,0.0031,13.2,0,"Actin, putative [Leishmania lindenbergi]"
ABF58724.1,Leishmania major,Leishmania,1.10E-95,317.8,0,actin-related protein 3 [Leishmania major]
ACS74714.1,Leishmania major,Leishmania,2.20E-91,303.6,0,actin [Leishmania major]
AAA19789.1,Leishmania major,Leishmania,7.60E-91,301.8,0.1,actin [Leishmania major]
ABF58703.1,Leishmania major,Leishmania,6.10E-53,176.9,0,ALP3 [Leishmania major]
ABF58704.1,Leishmania major,Leishmania,1.80E-33,112.8,0,actin-like protein 2 [Leishmania major]
ABF58723.1,Leishmania major,Leishmania,3.30E-31,105.3,0,actin-related protein 2 [Leishmania major]
ABF58702.1,Leishmania major,Leishmania,7.50E-21,71.2,0,actin-like protein 3 [Leishmania major]
ABF58707.1,Leishmania major,Leishmania,1.30E-20,70.4,0.1,ALP5 [Leishmania major]
ABF58705.1,Leishmania major,Leishmania,9.20E-07,24.8,0.1,actin-like protein 4 [Leishmania major]
ABF58706.1,Leishmania major,Leishmania,0.0084,11.8,0,ALP6 [Leishmania major]
CAG9571585.1,Leishmania major strain Friedlin,Leishmania,1.10E-95,317.8,0,actin-related_protein_3_-_putative_arp3 [Leishmania major strain Friedlin]
CAJ03366.1,Leishmania major strain Friedlin,Leishmania,1.10E-95,317.8,0,putative actin-related protein 3 arp3 [Leishmania major strain Friedlin]
CAC22667.1,Leishmania major strain Friedlin,Leishmania,2.20E-91,303.6,0,actin [Leishmania major strain Friedlin]
CAG9567865.1,Leishmania major strain Friedlin,Leishmania,2.20E-91,303.6,0,actin [Leishmania major strain Friedlin]
CAG9571043.1,Leishmania major strain Friedlin,Leishmania,6.10E-53,176.9,0,actin-like_protein_-_putative [Leishmania major strain Friedlin]
CAJ02872.1,Leishmania major strain Friedlin,Leishmania,6.10E-53,176.9,0,putative actin-like protein [Leishmania major strain Friedlin]
CAG9583871.1,Leishmania major strain Friedlin,Leishmania,1.80E-33,112.8,0,actin-like_protein_-_putative [Leishmania major strain Friedlin]
CAJ09294.1,Leishmania major strain Friedlin,Leishmania,1.80E-33,112.8,0,putative actin-like protein [Leishmania major strain Friedlin]
CAG9572825.1,Leishmania major strain Friedlin,Leishmania,3.30E-31,105.3,0,actin-related_protein_2_-_putative [Leishmania major strain Friedlin]
CAJ07211.1,Leishmania major strain Friedlin,Leishmania,3.30E-31,105.3,0,putative actin-related protein 2 [Leishmania major strain Friedlin]
CAG9582430.1,Leishmania major strain Friedlin,Leishmania,7.50E-21,71.2,0,actin-like_protein_-_putative [Leishmania major strain Friedlin]
CBZ12707.1,Leishmania major strain Friedlin,Leishmania,7.50E-21,71.2,0,putative actin-like protein [Leishmania major strain Friedlin]
CAG9571575.1,Leishmania major strain Friedlin,Leishmania,1.30E-20,70.4,0.1,actin-like_protein_-_putative [Leishmania major strain Friedlin]
CAJ03361.1,Leishmania major strain Friedlin,Leishmania,1.30E-20,70.4,0.1,putative actin-like protein [Leishmania major strain Friedlin]
CAG9582255.1,Leishmania major strain Friedlin,Leishmania,9.20E-07,24.8,0.1,actin-like_protein_-_putative [Leishmania major strain Friedlin]
CAJ08098.1,Leishmania major strain Friedlin,Leishmania,9.20E-07,24.8,0.1,putative actin-like protein [Leishmania major strain Friedlin]
CAG9578016.1,Leishmania major strain Friedlin,Leishmania,0.0084,11.8,0,actin-like_protein_-_putative [Leishmania major strain Friedlin]
CBZ12615.1,Leishmania major strain Friedlin,Leishmania,0.0084,11.8,0,putative actin-like protein [Leishmania major strain Friedlin]
KAG5482938.1,Leishmania martiniquensis,Leishmania,1.30E-99,330.7,0,hypothetical protein LSCM1_06977 [Leishmania martiniquensis]
KAG5487558.1,Leishmania martiniquensis,Leishmania,1.50E-91,304.1,0,hypothetical protein LSCM1_07515 [Leishmania martiniquensis]
KAG5484055.1,Leishmania martiniquensis,Leishmania,1.00E-51,172.9,0,hypothetical protein LSCM1_05909 [Leishmania martiniquensis]
KAG5464175.1,Leishmania martiniquensis,Leishmania,5.50E-35,117.8,0,hypothetical protein LSCM1_00355 [Leishmania martiniquensis]
KAG5480596.1,Leishmania martiniquensis,Leishmania,2.60E-30,102.4,0,hypothetical protein LSCM1_06300 [Leishmania martiniquensis]
KAG5482933.1,Leishmania martiniquensis,Leishmania,2.90E-22,75.9,0,hypothetical protein LSCM1_06971 [Leishmania martiniquensis]
KAG5468424.1,Leishmania martiniquensis,Leishmania,3.60E-07,26.2,0.1,hypothetical protein LSCM1_02404 [Leishmania martiniquensis]
KAG5479345.1,Leishmania martiniquensis,Leishmania,9.00E-05,18.2,0,hypothetical protein LSCM1_04602 [Leishmania martiniquensis]
KAG5473926.1,Leishmania martiniquensis,Leishmania,0.022,10.4,0,hypothetical protein LSCM1_04562 [Leishmania martiniquensis]
ACS74719.1,Leishmania mexicana,Leishmania,3.00E-92,306.4,0,actin [Leishmania mexicana]
CBZ25150.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,1.40E-95,317.4,0,"actin-related protein 3, putative arp3 [Leishmania mexicana MHOM/GT/2001/U1103]"
CBZ23355.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,1.90E-87,290.6,0,actin [Leishmania mexicana MHOM/GT/2001/U1103]
CBZ24783.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,2.40E-52,175,0,putative actin-like protein [Leishmania mexicana MHOM/GT/2001/U1103]
CBZ26184.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,2.10E-36,122.5,0,putative actin-like protein [Leishmania mexicana MHOM/GT/2001/U1103]
CBZ25792.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,1.50E-34,116.3,0,putative actin-related protein 2 [Leishmania mexicana MHOM/GT/2001/U1103]
CBZ25144.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,6.90E-23,77.9,0,putative actin-like protein [Leishmania mexicana MHOM/GT/2001/U1103]
CBZ30630.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,1.30E-22,77,0,putative actin-like protein [Leishmania mexicana MHOM/GT/2001/U1103]
CBZ30488.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,4.30E-07,25.9,0,putative actin-like protein [Leishmania mexicana MHOM/GT/2001/U1103]
CBZ23754.1,Leishmania mexicana MHOM/GT/2001/U1103,Leishmania,0.006,12.2,0,putative actin-like protein [Leishmania mexicana MHOM/GT/2001/U1103]
CAJ1006970.1,Leishmania naiffi,Leishmania,4.90E-76,253,0,"Actin, putative [Leishmania naiffi]"
CAJ1006608.1,Leishmania naiffi,Leishmania,2.20E-52,175.1,0,"Actin, putative [Leishmania naiffi]"
CAJ1012824.1,Leishmania naiffi,Leishmania,1.70E-35,119.4,0,"Actin, putative [Leishmania naiffi]"
CAJ1007597.1,Leishmania naiffi,Leishmania,1.10E-31,106.9,0,"Actin, putative [Leishmania naiffi]"
CAJ1006964.1,Leishmania naiffi,Leishmania,5.60E-24,81.5,0,"Actin, putative [Leishmania naiffi]"
CAJ1012001.1,Leishmania naiffi,Leishmania,3.00E-20,69.2,0,"Actin, putative [Leishmania naiffi]"
CAJ1007967.1,Leishmania naiffi,Leishmania,1.50E-08,30.7,0,"Actin, putative [Leishmania naiffi]"
CAJ1008274.1,Leishmania naiffi,Leishmania,0.00053,15.7,0.1,"Actin, putative [Leishmania naiffi]"
CAJ1010439.1,Leishmania naiffi,Leishmania,0.0037,12.9,0,"Actin, putative [Leishmania naiffi]"
KAG5483094.1,Leishmania orientalis,Leishmania,8.70E-99,328,0,hypothetical protein LSCM4_07310 [Leishmania orientalis]
KAG5487903.1,Leishmania orientalis,Leishmania,1.10E-92,307.8,0.1,hypothetical protein LSCM4_07584 [Leishmania orientalis]
KAG5484360.1,Leishmania orientalis,Leishmania,3.80E-51,171,0,hypothetical protein LSCM4_07927 [Leishmania orientalis]
KAG5464910.1,Leishmania orientalis,Leishmania,4.10E-34,114.9,0,hypothetical protein LSCM4_00357 [Leishmania orientalis]
KAG5480923.1,Leishmania orientalis,Leishmania,1.80E-31,106.2,0,hypothetical protein LSCM4_06493 [Leishmania orientalis]
KAG5483089.1,Leishmania orientalis,Leishmania,2.00E-22,76.4,0,hypothetical protein LSCM4_07304 [Leishmania orientalis]
KAG5466111.1,Leishmania orientalis,Leishmania,8.00E-20,67.8,0,hypothetical protein LSCM4_01253 [Leishmania orientalis]
KAG5468017.1,Leishmania orientalis,Leishmania,2.20E-07,26.8,1,hypothetical protein LSCM4_01104 [Leishmania orientalis]
KAG5479727.1,Leishmania orientalis,Leishmania,0.0015,14.2,0,hypothetical protein LSCM4_05733 [Leishmania orientalis]
KAG5473648.1,Leishmania orientalis,Leishmania,0.012,11.3,0,hypothetical protein LSCM4_03718 [Leishmania orientalis]
ACS74716.1,Leishmania panamensis,Leishmania,3.40E-92,306.2,0.1,actin [Leishmania panamensis]
AIN95441.1,Leishmania panamensis,Leishmania,4.50E-92,305.8,0.1,actin [Leishmania panamensis]
AIN96853.1,Leishmania panamensis,Leishmania,3.80E-82,273.2,0,"actin-related protein 3, putative [Leishmania panamensis]"
AIN96513.1,Leishmania panamensis,Leishmania,3.10E-52,174.6,0,"actin-like protein, putative [Leishmania panamensis]"
AIO02476.1,Leishmania panamensis,Leishmania,1.10E-34,116.8,0,"actin-like protein, putative [Leishmania panamensis]"
AIN97448.1,Leishmania panamensis,Leishmania,6.30E-31,104.4,0,"actin-related protein 2, putative [Leishmania panamensis]"
AIN96847.1,Leishmania panamensis,Leishmania,2.30E-24,82.8,0,"actin-like protein, putative [Leishmania panamensis]"
AIO01698.1,Leishmania panamensis,Leishmania,3.30E-20,69.1,0,"actin-like protein, putative [Leishmania panamensis]"
AIN97844.1,Leishmania panamensis,Leishmania,5.00E-08,28.9,0.2,"actin-like protein, putative [Leishmania panamensis]"
AIN98108.1,Leishmania panamensis,Leishmania,0.00044,16,0.1,"actin-like protein, putative [Leishmania panamensis]"
AIO00222.1,Leishmania panamensis,Leishmania,0.0037,12.9,0,"actin-like protein, putative [Leishmania panamensis]"
CAJ1041439.1,Leishmania shawi,Leishmania,4.90E-82,272.8,0,"Actin, putative [Leishmania shawi]"
CAJ1020745.1,Leishmania shawi,Leishmania,1.10E-81,271.6,0,"Actin, putative [Leishmania shawi]"
CAJ1041074.1,Leishmania shawi,Leishmania,3.10E-52,174.6,0,"Actin, putative [Leishmania shawi]"
CAJ1019634.1,Leishmania shawi,Leishmania,3.10E-52,174.6,0,"Actin, putative [Leishmania shawi]"
KAL0510000.1,Leishmania shawi,Leishmania,3.10E-52,174.6,0,putative Actin [Leishmania shawi]
CAJ1038085.1,Leishmania shawi,Leishmania,1.20E-34,116.7,0,"Actin, putative [Leishmania shawi]"
CAJ1047113.1,Leishmania shawi,Leishmania,1.20E-34,116.7,0,"Actin, putative [Leishmania shawi]"
CAJ1014831.1,Leishmania shawi,Leishmania,6.30E-31,104.4,0,"Actin, putative [Leishmania shawi]"
CAJ1039649.1,Leishmania shawi,Leishmania,6.30E-31,104.4,0,"Actin, putative [Leishmania shawi]"
KAL0532064.1,Leishmania shawi,Leishmania,6.30E-31,104.4,0,putative Actin [Leishmania shawi]
CAJ1020733.1,Leishmania shawi,Leishmania,8.00E-24,81,0,"Actin, putative [Leishmania shawi]"
CAJ1041433.1,Leishmania shawi,Leishmania,8.00E-24,81,0,"Actin, putative [Leishmania shawi]"
KAL0528338.1,Leishmania shawi,Leishmania,8.00E-24,81,0,putative Actin [Leishmania shawi]
CAJ1036043.1,Leishmania shawi,Leishmania,3.20E-20,69.1,0,"Actin, putative [Leishmania shawi]"
CAJ1023634.1,Leishmania shawi,Leishmania,2.10E-08,30.2,0.1,"Actin, putative [Leishmania shawi]"
CAJ1042378.1,Leishmania shawi,Leishmania,2.10E-08,30.2,0.1,"Actin, putative [Leishmania shawi]"
KAL0526663.1,Leishmania shawi,Leishmania,2.10E-08,30.2,0.1,putative Actin [Leishmania shawi]
